cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	14	-46,8374316	-23,5237146	3048	0,4593	1,5217	5158	3578	1580
L07231	22	-46,8410039	-23,5179210	1294	1,7002	2,3913	2209	1570	639
L07232	23	-46,8436297	-23,5218979	3178	0,7237	2,5	5687	3827	1860
L07233	14	-46,8251037	-23,5367361	3697	0,3787	1,5217	6162	4450	1712
L07234	3	-46,8288616	-23,5268585	1142	0,2627	0,3261	1891	1396	495
L07235	10	-46,8306693	-23,5284722	3034	0,3296	1,087	5527	3626	1901
L07236	23	-46,8477254	-23,5199568	3899	0,5899	2,5	6927	4570	2357
L07237	7	-46,8372320	-23,5192828	2485	0,2817	0,7609	4539	2870	1669
L07238	3	-46,8355359	-23,5325923	802	0,3741	0,3261	1417	995	422
L07239	15	-46,8225846	-23,5402263	3181	0,4715	1,6304	5416	3908	1508
L07240	11	-46,8384950	-23,5147949	1918	0,5735	1,1957	3074	2270	804
L07241	4	-46,8276070	-23,5252050	1209	0,3309	0,4348	2281	1535	746
L07242	14	-46,8276908	-23,5311294	3891	0,3598	1,5217	6926	4720	2206
L07243	18	-46,8225145	-23,5311847	2638	0,6823	1,9565	4700	3207	1493
L07244	10	-46,8218824	-23,5329965	2163	0,4623	1,087	3741	2604	1137
L07245	3	-46,8266995	-23,5330649	1779	0,1686	0,3261	3144	2124	1020
L07246	23	-46,8297368	-23,5356589	3883	0,5923	2,5	6552	4587	1965
L07247	6	-46,8242615	-23,5249586	2095	0,2864	0,6522	3680	2512	1168
L07248	16	-46,8379425	-23,5192246	4050	0,3951	1,7391	7577	4777	2800
L07249	13	-46,8219162	-23,5395049	2897	0,4487	1,413	4705	3433	1272
L09602	26	-46,8347526	-23,5443126	4196	0,6196	2,8261	7127	5027	2100
L09603	37	-46,8259136	-23,5699415	3862	0,9581	4,0217	6642	4842	1800
L09604	35	-46,8291789	-23,5449730	3268	1,071	3,8043	5127	3757	1370
L09605	19	-46,8516173	-23,5354320	2173	0,8744	2,0652	3855	2725	1130
L09606	23	-46,8405692	-23,5305760	3477	0,6615	2,5	5702	4128	1574
L09607	11	-46,8242137	-23,5450362	1341	0,8203	1,1957	2304	1639	665
L09608	23	-46,8305845	-23,5510307	3050	0,7541	2,5	4748	3526	1222
L09609	8	-46,8271422	-23,5608991	4190	0,1909	0,8696	7067	5213	1854
L09610	19	-46,8585421	-23,5316164	2137	0,8891	2,0652	3500	2593	907
L09611	36	-46,8417084	-23,5491435	5896	0,6106	3,913	9101	6765	2336
L09612	38	-46,8473178	-23,5476478	4172	0,9108	4,1304	6849	4950	1899
L09613	3	-46,8483421	-23,5587177	1342	0,2235	0,3261	2133	1558	575
L09614	8	-46,8243661	-23,5818486	1635	0,4893	0,8696	2636	1879	757
L09615	27	-46,8399311	-23,5607204	2912	0,9272	2,9348	4586	3452	1134
L09616	14	-46,8471951	-23,5613996	4254	0,3291	1,5217	7123	4987	2136
L09617	1	-46,8201381	-23,5729795	2290	0,0437	0,1087	4196	2987	1209
L09618	5	-46,8360920	-23,5659758	1737	0,2879	0,5435	2688	2036	652
L09619	4	-46,8422873	-23,5377078	2296	0,1742	0,4348	3536	2684	852
L09620	41	-46,8405704	-23,5408212	4099	1,0002	4,4565	6662	4789	1873
L09621	1	-46,8417930	-23,5353410	606	0,165	0,1087	925	720	205
L09622	29	-46,8521181	-23,5291548	4794	0,6049	3,1522	8033	5736	2297
L09623	16	-46,8469018	-23,5390765	2946	0,5431	1,7391	4699	3537	1162
L09624	5	-46,8338920	-23,5720029	2223	0,2249	0,5435	3557	2629	928
L09625	23	-46,8466884	-23,5288828	1601	1,4366	2,5	2582	1926	656
L09626	16	-46,8227576	-23,5478051	2855	0,5604	1,7391	4750	3543	1207
L09627	17	-46,8336900	-23,5557566	4662	0,3647	1,8478	7947	5431	2516
L09628	29	-46,8455957	-23,5557814	5324	0,5447	3,1522	8702	6292	2410
L09629	4	-46,8362590	-23,5665390	1058	0,3781	0,4348	1737	1261	476
L09630	13	-46,8550639	-23,5405869	3320	0,3916	1,413	5050	3840	1210
L09631	25	-46,8339330	-23,5418341	3793	0,6591	2,7174	6045	4427	1618
L09632	3	-46,8168725	-23,5718039	4039	0,0743	0,3261	6488	4889	1599
L09633	6	-46,8458215	-23,5327623	2890	0,2076	0,6522	4741	3453	1288
L09634	14	-46,8428352	-23,5641475	3388	0,4132	1,5217	5786	4113	1673
L09635	7	-46,8355662	-23,5552267	1727	0,4053	0,7609	2757	2047	710
L09636	12	-46,8595072	-23,5254034	2986	0,4019	1,3043	4920	3576	1344
L09637	5	-46,8334655	-23,5559586	1611	0,3104	0,5435	2694	1931	763
L09638	7	-46,8432767	-23,5683393	2105	0,3325	0,7609	3842	2569	1273
L09639	8	-46,8562213	-23,5495863	3229	0,2478	0,8696	5153	3866	1287
L09640	3	-46,8417200	-23,5557559	1412	0,2125	0,3261	2242	1664	578
L09641	16	-46,8325635	-23,5606183	3194	0,5009	1,7391	4898	3772	1126
L09642	31	-46,8510480	-23,5362829	4155	0,7461	3,3696	6695	4858	1837
