cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	5	-46,5736960	-23,6281079	2756	0,1814	5,814	3936	3031	905
L03828	4	-46,5775486	-23,6354290	4928	0,0812	4,6512	7113	5376	1737
L03829	2	-46,5748539	-23,6017980	1491	0,1341	2,3256	2280	1646	634
L03831	5	-46,5695666	-23,6448220	2120	0,2358	5,814	3238	2331	907
L03834	3	-46,5726120	-23,6066308	3267	0,0918	3,4884	4678	3620	1058
L03835	2	-46,5643400	-23,6272959	3646	0,0549	2,3256	5449	4034	1415
L03836	2	-46,5659560	-23,6332439	3644	0,0549	2,3256	5494	3997	1497
L03838	1	-46,5763789	-23,6236520	1262	0,0792	1,1628	1776	1415	361
L03839	1	-46,5778738	-23,6374845	2854	0,035	1,1628	4180	3156	1024
L03840	2	-46,5710495	-23,6231623	4442	0,045	2,3256	6459	4898	1561
L03841	4	-46,5736010	-23,6093189	4905	0,0815	4,6512	7551	5395	2156
L06294	2	-46,5666428	-23,6154995	3617	0,0553	2,3256	5616	4038	1578
L06295	10	-46,5510457	-23,6209219	4352	0,2298	11,6279	6342	4801	1541
L06296	1	-46,5489418	-23,6072896	1911	0,0523	1,1628	2620	2057	563
L06297	4	-46,5643922	-23,6397657	2942	0,136	4,6512	4325	3277	1048
L06298	5	-46,5568507	-23,6253877	4341	0,1152	5,814	6342	4836	1506
L06299	7	-46,5628521	-23,6408963	3152	0,2221	8,1395	4453	3494	959
L06300	2	-46,5634737	-23,6294039	3803	0,0526	2,3256	5478	4184	1294
L06301	6	-46,5638740	-23,6349540	3090	0,1942	6,9767	4317	3380	937
L06302	3	-46,5612820	-23,6181008	3603	0,0833	3,4884	5225	3922	1303
L06303	2	-46,5684560	-23,6423549	3603	0,0555	2,3256	5146	4005	1141
L06304	2	-46,5565462	-23,6338868	5904	0,0339	2,3256	8731	6465	2266
L06305	2	-46,5598285	-23,6426493	3076	0,065	2,3256	4341	3425	916
L06306	1	-46,5573917	-23,6361303	3829	0,0261	1,1628	5574	4192	1382
L06307	4	-46,5517289	-23,6248440	3655	0,1094	4,6512	5277	4011	1266
L06308	4	-46,5483890	-23,6250380	1973	0,2027	4,6512	2787	2185	602
