cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	1	-46,5736960	-23,6281079	2756	0,0363	1,1111	3936	3031	905
L03828	29	-46,5775486	-23,6354290	4928	0,5885	32,2222	7113	5376	1737
L03830	3	-46,5749545	-23,6437552	2969	0,101	3,3333	4119	3298	821
L03831	2	-46,5695666	-23,6448220	2120	0,0943	2,2222	3238	2331	907
L03833	2	-46,5700307	-23,6362136	3592	0,0557	2,2222	5230	3939	1291
L03834	5	-46,5726120	-23,6066308	3267	0,153	5,5556	4678	3620	1058
L03835	1	-46,5643400	-23,6272959	3646	0,0274	1,1111	5449	4034	1415
L03836	1	-46,5659560	-23,6332439	3644	0,0274	1,1111	5494	3997	1497
L03839	15	-46,5778738	-23,6374845	2854	0,5256	16,6667	4180	3156	1024
L03841	5	-46,5736010	-23,6093189	4905	0,1019	5,5556	7551	5395	2156
L06294	2	-46,5666428	-23,6154995	3617	0,0553	2,2222	5616	4038	1578
L06295	2	-46,5510457	-23,6209219	4352	0,046	2,2222	6342	4801	1541
L06296	2	-46,5489418	-23,6072896	1911	0,1047	2,2222	2620	2057	563
L06297	5	-46,5643922	-23,6397657	2942	0,17	5,5556	4325	3277	1048
L06298	1	-46,5568507	-23,6253877	4341	0,023	1,1111	6342	4836	1506
L06299	1	-46,5628521	-23,6408963	3152	0,0317	1,1111	4453	3494	959
L06300	1	-46,5634737	-23,6294039	3803	0,0263	1,1111	5478	4184	1294
L06301	1	-46,5638740	-23,6349540	3090	0,0324	1,1111	4317	3380	937
L06302	2	-46,5612820	-23,6181008	3603	0,0555	2,2222	5225	3922	1303
L06303	3	-46,5684560	-23,6423549	3603	0,0833	3,3333	5146	4005	1141
L06304	1	-46,5565462	-23,6338868	5904	0,0169	1,1111	8731	6465	2266
L06305	2	-46,5598285	-23,6426493	3076	0,065	2,2222	4341	3425	916
L06306	1	-46,5573917	-23,6361303	3829	0,0261	1,1111	5574	4192	1382
L06307	1	-46,5517289	-23,6248440	3655	0,0274	1,1111	5277	4011	1266
L06308	1	-46,5483890	-23,6250380	1973	0,0507	1,1111	2787	2185	602
