cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	4	-46,5736960	-23,6281079	2756	0,1451	1,9802	3936	3031	905
L03828	9	-46,5775486	-23,6354290	4928	0,1826	4,4554	7113	5376	1737
L03829	18	-46,5748539	-23,6017980	1491	1,2072	8,9109	2280	1646	634
L03830	10	-46,5749545	-23,6437552	2969	0,3368	4,9505	4119	3298	821
L03831	3	-46,5695666	-23,6448220	2120	0,1415	1,4851	3238	2331	907
L03832	3	-46,5730347	-23,6211432	1832	0,1638	1,4851	2886	2005	881
L03833	4	-46,5700307	-23,6362136	3592	0,1114	1,9802	5230	3939	1291
L03834	5	-46,5726120	-23,6066308	3267	0,153	2,4752	4678	3620	1058
L03835	5	-46,5643400	-23,6272959	3646	0,1371	2,4752	5449	4034	1415
L03836	1	-46,5659560	-23,6332439	3644	0,0274	0,495	5494	3997	1497
L03837	2	-46,5754785	-23,6141958	1032	0,1938	0,9901	1565	1152	413
L03838	6	-46,5763789	-23,6236520	1262	0,4754	2,9703	1776	1415	361
L03839	3	-46,5778738	-23,6374845	2854	0,1051	1,4851	4180	3156	1024
L03840	8	-46,5710495	-23,6231623	4442	0,1801	3,9604	6459	4898	1561
L03841	15	-46,5736010	-23,6093189	4905	0,3058	7,4257	7551	5395	2156
L06294	1	-46,5666428	-23,6154995	3617	0,0276	0,495	5616	4038	1578
L06295	12	-46,5510457	-23,6209219	4352	0,2757	5,9406	6342	4801	1541
L06296	1	-46,5489418	-23,6072896	1911	0,0523	0,495	2620	2057	563
L06297	5	-46,5643922	-23,6397657	2942	0,17	2,4752	4325	3277	1048
L06298	6	-46,5568507	-23,6253877	4341	0,1382	2,9703	6342	4836	1506
L06299	13	-46,5628521	-23,6408963	3152	0,4124	6,4356	4453	3494	959
L06300	4	-46,5634737	-23,6294039	3803	0,1052	1,9802	5478	4184	1294
L06301	7	-46,5638740	-23,6349540	3090	0,2265	3,4653	4317	3380	937
L06302	4	-46,5612820	-23,6181008	3603	0,111	1,9802	5225	3922	1303
L06303	15	-46,5684560	-23,6423549	3603	0,4163	7,4257	5146	4005	1141
L06304	16	-46,5565462	-23,6338868	5904	0,271	7,9208	8731	6465	2266
L06305	12	-46,5598285	-23,6426493	3076	0,3901	5,9406	4341	3425	916
L06306	6	-46,5573917	-23,6361303	3829	0,1567	2,9703	5574	4192	1382
L06307	3	-46,5517289	-23,6248440	3655	0,0821	1,4851	5277	4011	1266
L06308	1	-46,5483890	-23,6250380	1973	0,0507	0,495	2787	2185	602
