cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L02759	8	-46,2266205	-23,3098224	850	0,9412	4,6784	1251	939	312
L02761	4	-46,2141716	-23,3285823	1339	0,2987	2,3392	1979	1548	431
L02762	9	-46,2190937	-23,3137689	2399	0,3752	5,2632	3683	2649	1034
L02763	11	-46,2314288	-23,3235797	1647	0,6679	6,4327	2602	1830	772
L02764	4	-46,2154641	-23,3066696	1006	0,3976	2,3392	1480	1179	301
L02765	12	-46,2298002	-23,3203479	2483	0,4833	7,0175	3752	2708	1044
L02766	9	-46,2311470	-23,3108209	1367	0,6584	5,2632	1904	1519	385
L02767	29	-46,2304522	-23,3251491	2986	0,9712	16,9591	4467	3311	1156
L02768	11	-46,2299752	-23,3384336	1690	0,6509	6,4327	2302	1892	410
L02769	5	-46,2289310	-23,3190810	1107	0,4517	2,924	1633	1257	376
L02770	11	-46,2169677	-23,3028955	1749	0,6289	6,4327	2646	2020	626
L02771	12	-46,2334449	-23,3163963	1370	0,8759	7,0175	1946	1516	430
L02772	10	-46,2289178	-23,3105002	2052	0,4873	5,848	2897	2275	622
L02773	11	-46,2337303	-23,3260627	2003	0,5492	6,4327	3140	2285	855
L02775	4	-46,2060042	-23,3144801	885	0,452	2,3392	1330	969	361
L02776	7	-46,2190937	-23,3137689	1348	0,5193	4,0936	1950	1498	452
L02778	9	-46,2195564	-23,3054865	1352	0,6657	5,2632	1981	1521	460
L02779	5	-46,2300165	-23,3206619	1015	0,4926	2,924	1670	1126	544
